Hacker Initial States,Action Path,Notes
Hacker Steals Credentials + Ethereum Signer,"→ Login
→ Get Ethsig
→ Add New Browser Key (Inactive)
→ Wait 7 Days (Activate Browse Key)
→ DRAIN",Don’t store seed in 1P with your password
Hacker Steals Email + Ethereum Signer,"→ Get Ethsig
→ Reset Password
→ Login
→ Add New Browser Key (Inactive)
→ Wait 7 Days (Activate Browser Key)
→ DRAIN",
