Name,Points
Active Browser Key (ABK),20.0
"Email OTP ",5.0
Authenticated Credentials,1.0
Authenticator MFA,0.0
Mobile SMS MFA,0.0
Passkey MFA,0.0
Ethereum Signer,0.0
